sun altitude,sat altitude,sat height,measured_ab,irradiance,aoi,az diff
-20.0,31.8,527031.7,7.15415296249851,3.76874e-11,14.0,16.9
-20.0,31.7,527031.3,7.13912131087147,3.82128e-11,14.0,16.4
-20.0,30.5,527025.5,7.01640011697413,4.27856e-11,13.5,10.799999999999997
-20.0,30.4,527025.3,6.92760512314928,4.64318e-11,13.5,10.599999999999998
-20.0,30.3,527024.5,6.98218161198536,4.41555e-11,13.5,10.099999999999998
-20.0,30.2,527024.2,6.88525519566903,4.82787e-11,13.4,9.899999999999999
-20.0,30.1,527023.3,6.9513845651849,4.54259e-11,13.4,9.299999999999997
-20.0,30.0,527022.9,6.83985588531125,5.03402e-11,13.4,9.0
-20.0,29.8,527021.9,6.9006834245055,4.75975e-11,13.3,8.299999999999997
-20.0,29.7,527021.5,6.76822633150398,5.37734e-11,13.3,8.099999999999998
-20.0,28.3,527013.0,6.77400724911939,5.34878e-11,12.9,3.3999999999999986
-20.0,28.2,527012.2,6.78451691912977,5.29726e-11,12.8,3.0
-20.0,28.0,527011.3,6.7601885084647,5.41729e-11,12.8,2.6000000000000014
-20.0,27.9,527010.4,6.70292938986501,5.71066e-11,12.7,2.1999999999999957
-20.0,27.8,527009.6,6.71763900900369,5.63381e-11,12.7,1.8999999999999986
-20.0,27.6,527008.6,6.67665657298585,5.85053e-11,12.7,1.5
-20.0,27.5,527007.7,6.67835072327682,5.84141e-11,12.6,1.1000000000000014
-19.9,25.6,526993.6,6.91212655881157,4.70985e-11,12.1,3.6000000000000014
-19.9,25.6,526993.1,6.79112940453952,5.26509e-11,12.1,3.799999999999997
-19.9,25.4,526991.3,6.95353657367959,4.5336e-11,12.0,4.299999999999997
-19.9,25.3,526990.7,6.78034049734188,5.31767e-11,12.0,4.399999999999999
-19.9,25.1,526989.1,6.9722072928527,4.4563e-11,12.0,4.899999999999999
-19.9,25.0,526988.5,6.85086167165844,4.98325e-11,12.0,5.0
-19.9,24.8,526986.8,7.02131107363824,4.25925e-11,11.9,5.5
-19.9,24.7,526986.0,6.87286439187107,4.88328e-11,11.9,5.700000000000003
-19.9,24.5,526984.2,7.06172229155561,4.10363e-11,11.8,6.100000000000001
-19.9,24.2,526981.6,7.08860954941671,4.00326e-11,11.7,6.799999999999997
-19.9,24.2,526980.8,6.92954629993077,4.63489e-11,11.7,6.899999999999999
-19.9,24.0,526978.9,7.15760523696095,3.75678e-11,11.7,7.399999999999999
-19.9,23.8,526977.4,7.16857910419892,3.719e-11,11.6,7.700000000000003
-19.9,23.7,526975.8,7.17288832179428,3.70427e-11,11.6,8.0
-19.9,23.5,526974.4,7.19785828636685,3.62005e-11,11.5,8.299999999999997
-19.9,23.4,526972.8,7.21026240344679,3.57892e-11,11.5,8.700000000000003
-19.9,23.2,526971.1,7.19254564978792,3.6378e-11,11.5,9.0
-19.9,23.0,526969.5,7.26542083574604,3.40165e-11,11.4,9.299999999999997
-19.9,22.9,526968.2,7.19873580970307,3.61712e-11,11.4,9.600000000000001
-19.9,22.8,526966.8,7.1597495644418,3.74936e-11,11.3,9.799999999999997
-19.9,22.6,526965.4,7.17717782482158,3.68966e-11,11.3,10.0
-19.9,22.5,526963.9,7.2681110462989,3.39323e-11,11.3,10.299999999999997
-19.9,22.4,526962.7,7.25642998018688,3.42993e-11,11.2,10.5
-19.9,22.3,526961.2,7.28342282786144,3.34571e-11,11.2,10.699999999999996
-19.9,22.1,526959.8,7.3890933212319,3.03543e-11,11.2,11.0
-13.7,24.6,526956.1,8.84371936415227,7.95e-12,11.1,71.30000000000001
-13.7,24.7,526954.2,8.83618245410993,8.0054e-12,11.0,70.90000000000003
-19.9,21.6,526953.9,7.48442609139534,2.78027e-11,11.0,11.899999999999999
-19.9,21.6,526953.2,7.08374182293705,4.02125e-11,11.0,12.100000000000001
